Date,Adj Close,Close,High,Low,Open,Volume,Company,Ticker
2021-09-03,751.3616943359375,789.4000244140625,797.2000122070312,784.0,793.0,2860730,Sun Pharma,SUNPHARMA.NS
2021-09-06,746.459716796875,784.25,793.0999755859375,779.75,789.4000244140625,4613445,Sun Pharma,SUNPHARMA.NS
2021-09-07,732.8013305664062,769.9000244140625,783.0,766.5999755859375,782.0,3851664,Sun Pharma,SUNPHARMA.NS
2021-09-08,739.9874877929688,777.4500122070312,778.9500122070312,763.5499877929688,767.2999877929688,2548562,Sun Pharma,SUNPHARMA.NS
2021-09-09,738.892822265625,776.2999877929688,782.25,771.4500122070312,772.2000122070312,2008287,Sun Pharma,SUNPHARMA.NS
2021-09-13,742.7001953125,780.2999877929688,783.0,771.6500244140625,776.2999877929688,1935832,Sun Pharma,SUNPHARMA.NS
2021-09-14,743.7470703125,781.4000244140625,788.0,777.2999877929688,784.7000122070312,1996844,Sun Pharma,SUNPHARMA.NS
2021-09-15,743.0333251953125,780.6500244140625,785.75,778.7999877929688,784.7000122070312,1393824,Sun Pharma,SUNPHARMA.NS
2021-09-16,743.4140014648438,781.0499877929688,784.5499877929688,778.2999877929688,780.0,1353677,Sun Pharma,SUNPHARMA.NS
2021-09-17,732.8013305664062,769.9000244140625,787.9000244140625,766.6500244140625,785.0,4052622,Sun Pharma,SUNPHARMA.NS
2021-09-20,720.0469970703125,756.5,774.75,751.5999755859375,766.7000122070312,2206369,Sun Pharma,SUNPHARMA.NS
2021-09-21,727.6614990234375,764.5,766.3499755859375,751.0499877929688,756.5,2123997,Sun Pharma,SUNPHARMA.NS
2021-09-22,732.9915771484375,770.0999755859375,774.0,764.5,765.0,1817865,Sun Pharma,SUNPHARMA.NS
2021-09-23,732.753662109375,769.8499755859375,777.2000122070312,766.0999755859375,771.0999755859375,2109768,Sun Pharma,SUNPHARMA.NS
2021-09-24,733.3247680664062,770.4500122070312,776.6500244140625,762.0,769.0,1777859,Sun Pharma,SUNPHARMA.NS
2021-09-27,726.2813110351562,763.0499877929688,774.5,760.0999755859375,771.4500122070312,2862731,Sun Pharma,SUNPHARMA.NS
2021-09-28,737.7506713867188,775.0999755859375,791.0,754.9500122070312,766.7000122070312,4938824,Sun Pharma,SUNPHARMA.NS
2021-09-29,772.2064208984375,811.2999877929688,819.75,771.3499755859375,784.0,18565413,Sun Pharma,SUNPHARMA.NS
2021-09-30,778.8213500976562,818.25,832.9500122070312,806.5999755859375,814.7999877929688,10478553,Sun Pharma,SUNPHARMA.NS
2021-10-01,786.76904296875,826.5999755859375,830.7000122070312,805.2999877929688,812.0,5730355,Sun Pharma,SUNPHARMA.NS
2021-10-04,791.9088134765625,832.0,838.9000244140625,826.4500122070312,830.0,4007435,Sun Pharma,SUNPHARMA.NS
2021-10-05,780.9630737304688,820.5,834.4000244140625,814.9500122070312,828.0,2987134,Sun Pharma,SUNPHARMA.NS
2021-10-06,762.0218505859375,800.5999755859375,824.0,797.2999877929688,820.4500122070312,2910453,Sun Pharma,SUNPHARMA.NS
2021-10-07,783.58056640625,823.25,826.3499755859375,804.0999755859375,808.0499877929688,4089061,Sun Pharma,SUNPHARMA.NS
2021-10-08,781.8196411132812,821.4000244140625,833.7999877929688,818.5999755859375,825.0999755859375,2753935,Sun Pharma,SUNPHARMA.NS
2021-10-11,792.432373046875,832.5499877929688,836.2000122070312,817.7999877929688,826.0,2988841,Sun Pharma,SUNPHARMA.NS
2021-10-12,789.7196655273438,829.7000122070312,842.75,823.7000122070312,833.5,2407031,Sun Pharma,SUNPHARMA.NS
2021-10-13,801.950439453125,842.5499877929688,846.7999877929688,827.25,827.9500122070312,4113083,Sun Pharma,SUNPHARMA.NS
2021-10-14,800.7606811523438,841.2999877929688,850.0,838.25,843.9000244140625,2300231,Sun Pharma,SUNPHARMA.NS
2021-10-18,795.62109375,835.9000244140625,851.0,832.1500244140625,850.0,2632795,Sun Pharma,SUNPHARMA.NS
2021-10-19,787.4829711914062,827.3499755859375,842.2000122070312,825.6500244140625,837.0,2029762,Sun Pharma,SUNPHARMA.NS
2021-10-20,775.6329345703125,814.9000244140625,834.7999877929688,807.5,825.0499877929688,2089252,Sun Pharma,SUNPHARMA.NS
2021-10-21,778.9642944335938,818.4000244140625,829.0,810.0499877929688,823.0499877929688,3155655,Sun Pharma,SUNPHARMA.NS
2021-10-22,773.3961181640625,812.5499877929688,826.8499755859375,800.1500244140625,825.0999755859375,1709523,Sun Pharma,SUNPHARMA.NS
2021-10-25,774.0147705078125,813.2000122070312,821.25,795.5499877929688,810.0,2129988,Sun Pharma,SUNPHARMA.NS
2021-10-26,774.3003540039062,813.5,823.9000244140625,806.2999877929688,817.0,1628608,Sun Pharma,SUNPHARMA.NS
2021-10-27,785.34130859375,825.0999755859375,838.4500122070312,815.7999877929688,815.7999877929688,3569869,Sun Pharma,SUNPHARMA.NS
2021-10-28,768.6846313476562,807.5999755859375,829.1500244140625,803.0499877929688,823.9500122070312,1647229,Sun Pharma,SUNPHARMA.NS
2021-10-29,756.6918334960938,795.0,816.5499877929688,779.3499755859375,800.0,4321416,Sun Pharma,SUNPHARMA.NS
2021-11-01,772.6822509765625,811.7999877929688,813.8499755859375,787.0,798.9500122070312,1935341,Sun Pharma,SUNPHARMA.NS
2021-11-02,776.1087036132812,815.4000244140625,836.0,782.75,814.6500244140625,17608860,Sun Pharma,SUNPHARMA.NS
2021-11-03,749.9815063476562,787.9500122070312,822.0,781.3499755859375,820.0,9452138,Sun Pharma,SUNPHARMA.NS
2021-11-04,757.1201171875,795.4500122070312,797.0,788.5,797.0,485870,Sun Pharma,SUNPHARMA.NS
2021-11-08,761.4508666992188,800.0,803.0,783.0,798.0,4280584,Sun Pharma,SUNPHARMA.NS
2021-11-09,762.7357788085938,801.3499755859375,812.0,797.0,800.0,3232291,Sun Pharma,SUNPHARMA.NS
2021-11-10,772.0159301757812,811.0999755859375,815.0,797.0,799.75,2900645,Sun Pharma,SUNPHARMA.NS
2021-11-11,756.5489501953125,794.8499755859375,810.4500122070312,792.0999755859375,808.9500122070312,2107377,Sun Pharma,SUNPHARMA.NS
2021-11-12,767.6375732421875,806.5,808.5499877929688,796.0999755859375,803.9500122070312,2076523,Sun Pharma,SUNPHARMA.NS
2021-11-15,771.6353149414062,810.7000122070312,819.6500244140625,806.6500244140625,808.2999877929688,2109222,Sun Pharma,SUNPHARMA.NS
2021-11-16,759.9755859375,798.4500122070312,817.4500122070312,795.6500244140625,812.2999877929688,1512946,Sun Pharma,SUNPHARMA.NS
2021-11-17,753.2177124023438,791.3499755859375,805.0,787.4000244140625,800.0,1662900,Sun Pharma,SUNPHARMA.NS
2021-11-18,752.5513916015625,790.6500244140625,794.3499755859375,780.0999755859375,790.0,3177648,Sun Pharma,SUNPHARMA.NS
2021-11-22,733.6102905273438,770.75,794.0,765.0499877929688,791.8499755859375,2894426,Sun Pharma,SUNPHARMA.NS
2021-11-23,747.364013671875,785.2000122070312,791.75,761.5499877929688,770.0,2739763,Sun Pharma,SUNPHARMA.NS
