Feature,Importance
Volume_Change,0.04392613799322478
Price_vs_MA50,0.03833961632660945
Open_Close_Change,0.03734364482008158
Volatility_10D,0.03720454413352424
Return_10D,0.036163353703857176
Return_3D,0.035503858983249
Volatility_5D,0.03512956219343503
Cumulative_Return,0.03439498370427699
High_Low_Range_Pct,0.0341314166137234
Return_5D,0.03401710581517813
Volume,0.033780276260726216
High_Low_Pct,0.03372260854342427
Volume_Ratio,0.03303026375948222
Price_vs_MA20,0.032685186776825324
Volatility_20,0.0324875370891201
RSI_14,0.031731871393234044
Return_1D,0.0313344612133317
Daily_Return,0.03128480929419128
MACD_Histogram,0.031063244132777085
High_Low_Range,0.030976861105541837
Volume_MA20,0.030293340008791542
Price_Change,0.030093108381831962
MACD,0.02952704494983486
MACD_Signal,0.029249168221540216
Momentum_5D,0.029073431255587732
Momentum_10D,0.028495962863028603
Open,0.022923638013487988
Low,0.022866725299151586
MA_50,0.02276238152456843
Close,0.022663577214035276
MA_20,0.021937533067574597
High,0.0218627453447534
