Company,Test_Rows,Accuracy,Precision,Recall,F1_Score,Actual_UP,Actual_DOWN,Predicted_UP,Predicted_DOWN
M&M,237,0.5527426160337553,0.5591397849462365,0.4444444444444444,0.49523809523809526,117,120,93,144
Hindustan Unilever,237,0.5443037974683544,0.47368421052631576,0.4368932038834951,0.45454545454545453,103,134,95,142
Axis Bank,237,0.5274261603375527,0.5391304347826087,0.512396694214876,0.5254237288135594,121,116,115,122
ONGC,237,0.5274261603375527,0.543859649122807,0.5081967213114754,0.5254237288135594,122,115,114,123
NTPC,237,0.5189873417721519,0.5106382978723404,0.20869565217391303,0.2962962962962963,115,122,47,190
HCLTech,237,0.510548523206751,0.5075757575757576,0.5677966101694916,0.536,118,119,132,105
Tata Steel,237,0.5063291139240507,0.48951048951048953,0.6140350877192983,0.5447470817120622,114,123,143,94
Maruti Suzuki,237,0.5021097046413502,0.47368421052631576,0.07692307692307693,0.1323529411764706,117,120,19,218
Bharti Airtel,237,0.48945147679324896,0.4782608695652174,0.2796610169491525,0.35294117647058826,118,119,69,168
Reliance,237,0.4767932489451477,0.4573643410852713,0.5221238938053098,0.48760330578512395,113,124,129,108
ICICI Bank,237,0.4767932489451477,0.464,0.5043478260869565,0.48333333333333334,115,122,125,112
Dr Reddy's,237,0.46835443037974683,0.4444444444444444,0.5818181818181818,0.5039370078740157,110,127,144,93
ITC,237,0.46835443037974683,0.423841059602649,0.6213592233009708,0.5039370078740157,103,134,151,86
Wipro,237,0.459915611814346,0.44966442953020136,0.5929203539823009,0.5114503816793893,113,124,149,88
TCS,237,0.459915611814346,0.425531914893617,0.5607476635514018,0.4838709677419355,107,130,141,96
SBI,237,0.45569620253164556,0.4945054945054945,0.3515625,0.410958904109589,128,109,91,146
HDFC Bank,237,0.45147679324894513,0.421875,0.81,0.5547945205479452,100,137,192,45
Infosys,237,0.4430379746835443,0.39864864864864863,0.5784313725490197,0.472,102,135,148,89
Sun Pharma,237,0.42616033755274263,0.43661971830985913,0.2440944881889764,0.31313131313131315,127,110,71,166
