Feature,Importance
Daily_Return,0.08140148724535512
Return_1D,0.07817489570318034
Return_5D,0.05633634865075897
High_Low_Pct,0.05089172818942519
Volume_Change,0.05069104856548787
Price_vs_MA50,0.04704957420533782
Volatility_5D,0.04288465748532862
Return_3D,0.04243411579172226
Cumulative_Return,0.041792255828879445
Open_Close_Change,0.04151750867270688
Volume,0.039737056060156185
Return_10D,0.03730553232501661
Volatility_10D,0.031619945723513954
Volume_Ratio,0.031558272372543245
High_Low_Range_Pct,0.031167216027243434
Volume_MA20,0.02896504310143184
Volatility_20,0.028522004117390313
Price_vs_MA20,0.02746997895419204
High_Low_Range,0.025831696613975545
RSI_14,0.02356088336129344
MACD_Signal,0.021446538742577282
MACD_Histogram,0.02124037250393313
MACD,0.01891447815524764
Price_Change,0.017865651246214028
Momentum_10D,0.017850665707896108
Momentum_5D,0.017406769957066002
MA_50,0.012284644024763357
MA_20,0.008265303476145583
Open,0.00763296047793992
Close,0.006994797113541082
Low,0.006499633560771872
High,0.004686936038964863
