Feature,Coefficient,Absolute_Coefficient
High_Low_Pct,0.22931362387270388,0.22931362387270388
High_Low_Range_Pct,-0.20201127608570982,0.20201127608570982
MA_50,0.09701894043344518,0.09701894043344518
Return_5D,0.0726513142932935,0.0726513142932935
Open_Close_Change,-0.06692266829723349,0.06692266829723349
Price_vs_MA20,-0.06656909776188202,0.06656909776188202
Volatility_10D,0.06061045831706634,0.06061045831706634
Price_vs_MA50,-0.05802361227383086,0.05802361227383086
Momentum_5D,-0.046928876705795146,0.046928876705795146
Open,-0.04516516343785705,0.04516516343785705
Volume,-0.04503793075238775,0.04503793075238775
Price_Change,0.035149586420549904,0.035149586420549904
Volume_Change,0.033587175415991335,0.033587175415991335
RSI_14,0.03268668318919017,0.03268668318919017
Return_3D,0.03149322228800964,0.03149322228800964
Close,-0.03018359564210184,0.03018359564210184
Low,-0.02864912146781184,0.02864912146781184
Return_10D,-0.02834423466394308,0.02834423466394308
High,-0.028080733656663425,0.028080733656663425
Volume_MA20,0.02784510406739043,0.02784510406739043
Volatility_20,-0.02527455457966522,0.02527455457966522
MACD,0.01723533735669138,0.01723533735669138
MACD_Signal,0.016331768264181014,0.016331768264181014
MACD_Histogram,0.007177731281993466,0.007177731281993466
Momentum_10D,0.0059173066544344925,0.0059173066544344925
Cumulative_Return,-0.005809695817357897,0.005809695817357897
Volatility_5D,-0.005092348524324466,0.005092348524324466
MA_20,0.0034900456371063883,0.0034900456371063883
Daily_Return,0.0026636582915564614,0.0026636582915564614
Return_1D,0.002663658291554012,0.002663658291554012
Volume_Ratio,0.0009375621723786977,0.0009375621723786977
High_Low_Range,-6.471259127782157e-05,6.471259127782157e-05
