Date,Company,Ticker,Close,Daily_Return,Return_5D,RSI_14,MACD,MACD_Signal,Volatility_20,MA_20,MA_50,Signal_Score,Technical_Signal,Signal_Strength,Trend,Volatility_Level
2026-09-03,Axis Bank,AXISBANK.NS,1267.0,1.0447,0.0088,63.0664,1.0671,-3.9144,1.3125,1245.615,1273.072,3,BUY / POSITIVE,Moderate,Mixed,Moderate
2026-09-03,Bharti Airtel,BHARTIARTL.NS,1869.0,0.3328,-0.005,32.2264,-18.4837,-8.7898,1.6817,1918.66,1919.422,-3,SELL / NEGATIVE,Moderate,Bearish,Moderate
2026-09-03,Dr Reddy's,DRREDDY.NS,1155.0,-0.1297,-0.0187,33.672,-11.4582,-10.9642,1.2867,1179.735,1216.398,-5,SELL / NEGATIVE,Strong,Bearish,Moderate
2026-09-03,HCLTech,HCLTECH.NS,1319.0,-0.9388,0.0289,42.6838,10.2022,14.6882,1.5433,1329.59,1262.636,-1,HOLD / NEUTRAL,Weak,Mixed,Moderate
2026-09-03,HDFC Bank,HDFCBANK.NS,706.65,0.8348,-0.0061,37.03,-12.2755,-12.0325,0.8579,721.9675,757.601,-3,SELL / NEGATIVE,Moderate,Bearish,Low
2026-09-03,Hindustan Unilever,HINDUNILVR.NS,1962.0,-0.6582,-0.0234,23.5267,-35.0149,-31.0327,0.8843,2031.38,2095.392,-4,SELL / NEGATIVE,Moderate,Bearish,Low
2026-09-03,ICICI Bank,ICICIBANK.NS,1430.0,0.2454,-0.009,54.3801,3.9359,3.7231,1.0729,1424.055,1423.2,3,BUY / POSITIVE,Moderate,Bullish,Moderate
2026-09-03,ITC,ITC.NS,263.0,-1.2392,-0.0223,34.9802,-4.907,-4.3977,1.6093,271.475,279.231,-5,SELL / NEGATIVE,Strong,Bearish,Moderate
2026-09-03,Infosys,INFY.NS,1130.3,-0.8509,0.0176,41.3824,2.754,4.8306,1.4353,1145.185,1108.428,-1,HOLD / NEUTRAL,Weak,Mixed,Moderate
2026-09-03,M&M,M&M.NS,3150.0,-1.2539,-0.0541,17.617,-20.7711,17.3521,1.2302,3380.17,3276.172,-4,SELL / NEGATIVE,Moderate,Bearish,Moderate
2026-09-03,Maruti Suzuki,MARUTI.NS,12857.0,0.0623,-0.0434,22.846,-217.1359,-117.6003,1.174,13604.5,13786.84,-2,HOLD / NEUTRAL,Weak,Bearish,Moderate
2026-09-03,NTPC,NTPC.NS,330.9,0.2727,0.0,30.9624,-4.5636,-4.1605,0.7412,336.1975,343.98,-2,HOLD / NEUTRAL,Weak,Bearish,Low
2026-09-03,ONGC,ONGC.NS,236.0,-0.6316,0.0172,48.9899,-2.1037,-2.4832,0.7696,236.657,240.4128,-1,HOLD / NEUTRAL,Weak,Bearish,Low
2026-09-03,Reliance,RELIANCE.NS,1302.5,-0.8072,0.0158,47.2767,-1.8369,-0.8562,0.891,1310.79,1303.03,-3,SELL / NEGATIVE,Moderate,Bearish,Low
2026-09-03,SBI,SBIN.NS,1023.4,0.2449,-0.0187,29.8453,-3.3128,1.2707,1.0877,1054.755,1042.724,-2,HOLD / NEUTRAL,Weak,Bearish,Moderate
2026-09-03,Sun Pharma,SUNPHARMA.NS,1916.0,-0.8128,0.0014,47.561,-0.2883,-1.654,1.2786,1921.36,1929.058,-1,HOLD / NEUTRAL,Weak,Bearish,Moderate
2026-09-03,TCS,TCS.NS,2320.1001,-1.1882,0.0319,45.0231,8.1662,9.7079,1.8723,2338.455,2266.868,-1,HOLD / NEUTRAL,Weak,Mixed,High
2026-09-03,Tata Steel,TATASTEEL.NS,184.2,0.1904,-0.0139,52.3302,-0.9859,-0.9564,0.8635,185.6805,186.893,-3,SELL / NEGATIVE,Moderate,Bearish,Low
2026-09-03,Wipro,WIPRO.NS,175.72,-0.7736,-0.0039,36.8153,-0.8177,-0.3014,1.2794,181.254,179.1484,-5,SELL / NEGATIVE,Strong,Bearish,Moderate
